Advt. No.,Advertisement,Date of Issue,Click to apply
No.20/2025,"On behalf of the Government of Meghalaya, Applications are invited on (Online-mode) from citizens of India as per the terms and conditions of this Advertisement for recruitment to the post(s) mentioned below :-  Foreman under The Directorate of Printing and Stationery, Meghalaya  Assistant Librarian Under Meghalaya Administrative Training Institute  Librarian in the Directorate of Soil and Water Conservation Department",10-12-2025,Application date over
No.19/2025,ADDENDUM  Consequent upon the increase of number of vacancies as informed by the various Heads of Department under the Government of Meghalaya for recruitment to the post of Lower Division Assistant under the Heads of Department appearing at Post code No. 01 of Advt.No.15/Pt-1/2025 dtd 15.07.2025.  It is hereby notified for general information of all concern that the number of vacancies in respect of the above mentionecd posts are as follows:  Lower Division Assistant in the Heads of Department,30-10-2025,Application date over
No.18/2025,"On behalf of the Government of Meghalaya, Applications are invited on (Online-mode) from citizens of India as per the terms and conditions of this Advertisement for recruitment to the post(s) mentioned below :-  Meghalaya Civil Service (MCS) [Oct 2025]",10-10-2025,Application date over
MPSC/D-78/1/2024-2025/227,"NOTICE  The Meghalaya Public Service Commission (MPSC) wishes to inform all candidates that the Online Recruitment Processing Application (RPA) has been migrated from megrecruitment.nic.in to rpa.meghalaya.gov.in. The updated application link is now available on the official MPSC website. Candidates are kindly requested to re-register on the new portal using the same email ID previously used. This will ensure that all applications submitted under the former system are seamlessly reflected in the new platform. We appreciate your cooperation during this transition. For any Assistance, kindly contact MPSC at helpdesk.mpsc-meg@gov.in.",05-09-2025,-
MPSC/D-78/1/2024-2025/226,"NOTICE  All candidates applying for posts advertised by the Meghalaya Public Service Commission (MPSC) are advised to verify the status of their application under the âMy Applicationsâ section after completing the payment process. If the application status indicates âApplication fees not paidâ despite successful payment, candidates must promptly contact the Commission at helpdesk.mpsc-meg@gov.in for clarification and resolution. Please note that requests related to payment discrepancies will not be entertained once the Programme of Examinations has been scheduled. Candidates are therefore urged to ensure timely verification to avoid any inconvenience. For any Assistance, kindly contact MPSC at helpdesk.mpsc-meg@gov.in.",04-09-2025,-
No.17/2025,"On behalf of the Government of Meghalaya, Applications are invited on (Online-mode) from citizens of India as per the terms and conditions of this Advertisement for recruitment to the post(s) mentioned below :-  Assistant Public Prosecutor under The Directorate of Prosecution. [Sept 2025] Liaison Officer in The Office of the Additional Resident Commissioner, Meghalaya House, Mumbai under General Administration (A) Department. [Sept 2025]  Sub-Inspector of Supply in The Directorate of Food Civil Supplies & Consumer Affairs. [Sept 2025]",04-09-2025,Application date over
No.MPSC/ADVT//Pt-1/2025,"NOTICE  Due to Technical issues in the Application Server, It is hereby informed that the last date for application of Advt No.15/Pt-1/2025 dtd 15th July 2025 for the post of Lower Division Assistant under Heads of Department and Advt No.16/Pt-I/2025 dtd 15th July 2025 for the post of Typist in the various Heads of Department has been extended to 22nd August 2025 -  17:00 hours.",18-08-2025,-
No.16/Pt-1/2025,"On behalf of the Government of Meghalaya, Applications are invited on (Online-mode) from citizens of India as per the terms and conditions of this Advertisement for recruitment to the post(s) mentioned below :-  Typist in various Heads of Department [July 2025]",15-07-2025,Application date over
No.15/Pt-1/2025,"On behalf of the Government of Meghalaya, Applications are invited on (Online-mode) from citizens of India as per the terms and conditions of this Advertisement for recruitment to the post(s) mentioned below :-  Lower Division Assistant in the Heads of Department [July 2025]",15-07-2025,Application date over
ADVT./Pt-1/2025,"Consequent upon the increase of number of vacancies as informed by the Joint Secretary, Public Health Engineering Department vide (i) L.NoPHE.43/2017/145 dtd 26.06.2025 for the post of Sub - Divisional Officer/Assistant Engineer (Civil) under PHE department appearing at Sl. No l(a) and (ii) L.NoPHE.154/2019/156 dtd 27.06.2025 for the post of Sub- Divisional Officer/Assistant Engineer (Electrical) under PHE department appearing at Sl. No l(b) of Advt.No.11/2025 dtd 30.05.2025. It is hereby notified for general information of all concern that the number of vacancies in respect of the above mentioned posts are as follows:",10-07-2025,Addendum to Advt. No..11/2025 Dtd. 30.05.2025
No.14/2025,"On behalf of the Government of Meghalaya, Applications are invited on (Online-mode) from citizens of India as per the terms and conditions of this Advertisement for recruitment to the post(s) mentioned below :-  Assistant Soil & Conservation Officer (AS&WCO) under Soil and Water Conservation Department [June 2025]  Mechanic Motor Vehicle (M.V) Instructor under the Directorate of Employment & Craftsmen Training, Department of Labour, Employment & Skill Development [June 2025]  Electrician Instructor under the Directorate of Employment & Craftsmen Training, Department of Labour Employment & Skill Develoment [June 2025]",26-06-2025,Application date over
No.MPSC/D-35/1/2025-2026/47,"PUBLIC NOTICE This is for general information to all candidates that there are 2 (two) additional vacancies for the post of Draughtsman Grade II/Surveyor Grade II under Soil & Water Conservation Department as informed by Department vide L. No SCD.2/2023/195 dtd 26.05.2025 read with Personnel & Administrative Reforms (B) Department vide L.No PER (AR) 19/2023/109 dtd 08.05.2025 advertised vide Advt.No.13/2025 dtd 17.06.2025. Candidates who had already applied for the post mentioned above in the previous advertisement advertised vide Advt. No. 03/2025 dtd 14.05.2025 ""NEED NOT APPLY AGAIN"". ""The Method of Selection"" at PARA 6 for this post as mentioned in the previous advertisement no. Advt no.03/2025 dtd 14.05.2025 stands modified. Candidates who had applied in the previous advertisement to this post are to refer to PARA 6 -""Method of Selection"" advertised vide Advt.No.13/2025 dtd 17.06.2025.",18-06-2025,-
No.13/2025,"On behalf of the Government of Meghalaya, Applications are invited on (Online-mode) from citizens of India as per the terms and conditions of this Advertisement for recruitment to the post(s) mentioned below :-  Draughtsman Grade-II Surveyor Grade-II under the Directorate of Soil and Water Conservation",17-06-2025,Application date over
No.MPSC/D-5/1/2025-2026/16,"CORRIGENDUM In continuation of the Office Advertisement No.10/2025 dtd 26th May, 2025, Para 6.3 of ""Method of Selection"" for the post of Junior Cooperative Officer ""under Cooperative Department"" may be read as ""under Cooperation Department"". The post is transferable and recommended person may be posted anywhere in the State of Meghalaya, mostly in rural areas.",13-06-2025,-
No.12/2025,"On behalf of the Government of Meghalaya, Applications are invited on (Online-mode) from citizens of India as per the terms and conditions of this Advertisement for recruitment to the post(s) mentioned below :-  Assistant Employment Officer (Gazetted Group 'B') under the Directorate of Employment & Craftsmen Training Department of Labour, Employment & Skill Development [June 2025]",11-06-2025,Application date over
No.11/2025,"On behalf of the Government of Meghalaya, Applications are invited on (Online-mode) from citizens of India as per the terms and conditions of this Advertisement for recruitment to the post(s) mentioned below :-  Sub-Divisional Officer / Assistant Engineer (Civil) under PHE Department and Public Works (R&B) Department [May 2025]  Sub Divisional Officer / Assistant Engineer (Electrical) under P.H.E Department [May 2025]",30-05-2025,Application date over
No.10/2025,"On behalf of the Government of Meghalaya, Applications are invited on (Online-mode) from citizens of India as per the terms and conditions of this Advertisement for recruitment to the post(s) mentioned below :-  Animal Husbandry & Veterinary Officer under the Animal Husbandry and Veterinary Department [May 2025]  Computer Programmer in Planning, Investment Promotion & Sustainable Development Department [May 2025]  Junior Co-operative Officer under the Cooperation Department [May 2025]  Junior Karate Coach under the Directorate of Sports and Youth Affairs [May 2025]  Junior Badminton Coach under the Directorate of Sports and Youth Affairs [May 2025]  Stenographer Grade-III in the Directorate of Tourism [May 2025]",26-05-2025,Application date over
No.MPSC/ADVT/2025,"NOTICE  This is for general information to all the applicants, due to technical issues in the Online Recruitment Application, the last date for application to the various advertisements issued by the Meghalaya Public Service Commission has been extended to the 23rd May, 2025",15-05-2025,-
No.09/2025,"On behalf of the Government of Meghalaya, Applications are invited on (Online-mode) from citizens of India as per the terms and conditions of this Advertisement for recruitment to the post(s) mentioned below :-  Stenographer Grade-I under Meghalaya Civil Secretariat [May 2025]  Stenographer Grade-III under Commissionerate of Food Safety and Inspector General of Prisons and Correctional Services [May 2025]",12-05-2025,Application date over
No.08/2025,"On behalf of the Government of Meghalaya, Applications are invited on (Online-mode) from citizens of India as per the terms and conditions of this Advertisement for recruitment to the post(s) mentioned below :-  Scientific Officer for (Chemistry Division) under the Directorate of Forensic Science [May 2025]  Assistant Engineer-Group-B in the Office of the Chief Engineer Water Resources Department [May 2025]  Lower Division Assistant under the Meghalaya (C) Secretariat [May 2025]  Draftsman Grade-II Group-C in the Office of the Chief Engineer Water Resources Department [May 2025]",08-05-2025,Application date over
No.07/2025,"On behalf of the Government of Meghalaya, Applications are invited on (Online-mode) from citizens of India as per the terms and conditions of this Advertisement for recruitment to the post(s) mentioned below :-  Vice Principal in ITI(s) under the Directorate of Employment & Craftsmen Training, Labour Department [April 2025]  Assistant Agriculture Engineer Land Use Survey (LUS) in the office of the Research Officer at Shillong, Tura and Jowai under the Department of Agriculture and Farmers' Welfare [April 2025]  Junior Engineer Grade-I (Electrical) under P.H.E Department [April 2025]",21-04-2025,Application date over
No.05/2025,"On behalf of the Government of Meghalaya, Applications are invited on (Online-mode) from citizens of India as per the terms and conditions of this Advertisement for recruitment to the post(s) mentioned below :-  Senior Scientific Assistant in the Documents Division of the Directorate of Forensics Sciences [April 2025]  Soil & Water Conservation Ranger (Overseer/Draughtsman-I) in the Office of the Directorate of Soil & Water Conservation[April 2025]  Environmental Planning and Protection Assistant in the Office of PCCF and HOFF, Meghalaya [April 2025]  Librarian in the Directorate of Information and Public Relations [April 2025]",17-04-2025,Application date over
No.06/2025,"On behalf of the Government of Meghalaya, Applications are invited on (Online-mode) from citizens of India as per the terms and conditions of this Advertisement for recruitment to the post(s) mentioned below :-  Motor Vehicle Inspectors under Transport Department [April 2025]",17-04-2025,Application date over
No.04/2025,"On behalf of the Government of Meghalaya, Applications are invited on (Online-mode) from citizens of India as per the terms and conditions of this Advertisement for recruitment to the post(s) mentioned below :-  Library Assistant at State Central Library, Shillong (Non-Gazetted) [April 2025]",16-04-2025,Application date over
No.03/2025,"On behalf of the Government of Meghalaya, Applications are invited on (Online-mode) from citizens of India as per the terms and conditions of this Advertisement for recruitment to the post(s) mentioned below :-  Inspector of Legal Metrology in the Office of the Controller of Legal Metrology [April 2025]  Junior Engineer Grade - I (Civil) under Various Departments [April 2025]  Draughtsman Grade-II Surveyor Grade-II under the Directorate of Soil and Water Conservation [April 2025]  Account Assistant under the Directorate of Community and Rural Development [April 2025]",14-04-2025,Application date over
No.02/2025,"On behalf of the Government of Meghalaya, Applications are invited on (Online-mode) from citizens of India as per the terms and conditions of this Advertisement for recruitment to the post(s) mentioned below :-  FOOD SAFETY OFFICER UNDER THE COMMISSIONERATE OF FOOD SAFETY [April 2025]",08-04-2025,Application date over
No.01/2025,"On behalf of the Government of Meghalaya, Applications are invited on (Online-mode) from citizens of India as per the terms and conditions of this Advertisement for recruitment to the post(s) mentioned below :-  Liaison Officer in the Office of the Officer on Special Duty, Meghalaya House, Guwahati and Meghalaya House, Vellore under General Admn.(A) Deptt [April 2025]  Inspector of Statistics under the Directorate of Economics and Statistics Department [April 2025]  Surveyor Grade-I in Housing Department [April 2025]  Sub Inspector of Statistics under the Directorate of Economics and Statistics [April 2025]  Inspector of Housing in Housing Department [April 2025]",04-04-2025,Application date over
No.06/2024,"On behalf of the Government of Meghalaya, Applications are invited on (Online-mode) from citizens of India as per the terms and conditions of this Advertisement for recruitment to the post(s) mentioned below :-  Inspector of Excise in the Office of the Commissioner of Excise [Dec 2024]  Primary Investigator/Computor under the Directorate of Economics & Statistics [Dec 2024]  Field Assistant under the Directorate of Economics & Statistics [Dec 2024]",19-12-2024,Application date over
No.05/2024,"On behalf of the Government of Meghalaya, Applications are invited on (Online-mode) from citizens of India as per the terms and conditions of this Advertisement for recruitment to the post(s) mentioned below :-  Account Assistant under the Directorate of Food Civil Supplies & Consumer Affairs [Dec 2024]",17-12-2024,Application date over
No.04/2024,"On behalf of the Government of Meghalaya, Applications are invited on (Online-mode) from citizens of India as per the terms and conditions of this Advertisement for recruitment to the post(s) mentioned below :-  Child Development Project Officer under Social Welfare department [Nov 2024]",27-11-2024,Application date over
No.03/2024,"On behalf of the Government of Meghalaya, Applications are invited on (Online-mode) from citizens of India as per the terms and conditions of this Advertisement for recruitment to the post(s) mentioned below :-  Stenographer Grade III in the Meghalaya Secretariat and Heads of department [Nov 2024]",26-11-2024,Application date over
No.02/2024,"On behalf of the Government of Meghalaya, Applications are invited on (Online-mode) from citizens of India as per the terms and conditions of this Advertisement for recruitment to the post(s) mentioned below :-  Lower Division Assistant in the various Heads of Department [Nov 2024]  Assistant Inspector of Excise under the Commissioner of Excise [Nov 2024]",20-11-2024,Application date over
No.MPSC/D-16/3/2020-2021/112,CORRIGENDUM Public Notice This is for general information to all the candidates with regard to the Post of Assistant Conservator of Forest under Forest & Environment Department.,07-11-2024,Corrigendum
No.MPSC/ADVT-54/1/2024-2025/12,"In continuation to this Office Advertisement No. MPSC/ADVT-54/1/2024-2025/1 dtd 19th September, 2024, for the post of Junior Divisional Accountant (JDA) under the Administrative control of the Director of Accounts & Treasuries, Meghalaya, at SI no 11(a)&(b), the Pay level for the post is Level 11 plus usual allowances as admissible under the Rules.",20-09-2024,Addendum
No.MPSC/ADVT-54/1/2024-2025/1,"On behalf of the Government of Meghalaya, Applications are invited on (Online-mode) from citizens of India as per the terms and conditions of this Advertisement for recruitment to the post(s) mentioned below :-  Assistant Conservator of Forest under Forest & Environment Department (Sept - 2024)  Assistant Curator at the District Museum, Tura (Gazetted) (Sept - 2024)  Dairy Officer under the Directorate of Dairy Development (Sept - 2024)  Junior Informatics Officer in the Directorate of Information Technology & Communications Department (Sept - 2024)  Scientific Officer in the Mobile Forensic Crime Scene Unit under the Directorate of Forensic Science (Sept - 2024)  Counsellor in the District Prisons & Correctional Homes (Sept - 2024)  Senior Scientific Assistant in the Mobile Forensic Crime Scene Unit under the Directorate of Forensic Science (Sept - 2024)  Sub-Divisional Public Relations Officer under the Directorate of information and Public Relations in the subordinate offices(Sept - 2024)  Piano Instructor at State Institute of Arts & Culture (Non Gazetted) (Sept - 2024)  Guitar Instructor at State Institute of Arts & Culture (Non Gazetted) (Sept - 2024)  Junior Divisional Accountant (JDA) Under the Administrative Control of the Director of Accounts & Treasuries. (Sept-2024)  Scientific Assistant in the Mobile Forensic Crime Scene Unit under the Directorate of Forensic Science (Sept-2024)",19-09-2024,Application date over
No.MPSC/ADVT-54/1/2023-2024/182,"On behalf of the Government of Meghalaya, Applications are invited on (Online-mode) from citizens of India as per the terms and conditions of this Advertisement for recruitment to the post(s) mentioned below :-  MAS (MEGHALAYA AGRICULTURE SERVICE) -III [AGRICULTURE DEVELOPMENT OFFICER/ HORTICULTURE DEVELOPMENT OFFICER/SCIENTIFIC OFFICER(RESEARCH/SEED TECHNOLOGY/SOIL TESTING/SEED TESTING etc.)] [MAR 2024]  CHILD DEVELOPMENT PROJECT OFFICER UNDER SOCIAL WELFARE DEPARTMENT [MAR 2024]  LAW OFFICER UNDER LAW DEPARTMENT [MAR 2024]  RESEARCH ASSISTANT UNDER PLANNING DEPARTMENT [MAR 2024]",08-03-2024,Application date over
No.MPSC/ADVT-54/1/2023-2024/138,"On behalf of the Government of Meghalaya, Applications are invited on (Online-mode) from citizens of India as per the terms and conditions of this Advertisement for recruitment to the post(s) mentioned below :-  JUNIOR GRADE (FINANCE & ACCOUNTS OFFICERS OR TREASURY OFFICERS) OF MEGHALAYA FINANCE SERVICE [JAN 2024]  INDUSTRIAL PROMOTION OFFICER OR ASSISTANT INDUSTRIES OFFICER OR ASSISTANT MANAGER,CFSW OR SUPERINTENDENT OF INDUSTRIES IN COMMERCE & INDUSTRIES DEPARTMENT [JAN 2024]  ASSISTANT ARCHITECT, GAZETTED GROUP A UNDER PUBLIC WORKS DEPARTMENT (R&B), MEGHALAYA [JAN 2024]  INVESTIGATOR IN THE DIRECTORATE OF HOUSING [JAN 2024]",16-01-2024,Application date over
